Packaging Date,State,Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Part still boxed ?,Invalid
04/11/2017 02:30:25,Assigned,102170042377,,024170134702,00000000000917990548,0503409473,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:25,Assigned,102170042377,,024170134702,00000000000917990548,0503433577,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:25,Assigned,102170042377,,024170134702,00000000000917990548,0503433587,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:25,Assigned,102170042377,,024170134702,00000000000917990548,0503433782,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:25,Assigned,102170042377,,024170134702,00000000000917990548,0503448252,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:25,Assigned,102170042377,,024170134702,00000000000917990548,0503448336,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:25,Assigned,102170042377,,024170134702,00000000000917990548,0503448356,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:25,Assigned,102170042377,,024170134702,00000000000917990548,0503448567,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:36,Assigned,102170042377,,024170134771,00000000000917991758,0503390870,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:36,Assigned,102170042377,,024170134771,00000000000917991758,0503448233,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:36,Assigned,102170042377,,024170134771,00000000000917991758,0503448234,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:36,Assigned,102170042377,,024170134771,00000000000917991758,0503448235,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:36,Assigned,102170042377,,024170134771,00000000000917991758,0503448254,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:36,Assigned,102170042377,,024170134771,00000000000917991758,0503448255,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:36,Assigned,102170042377,,024170134771,00000000000917991758,0503448263,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:36,Assigned,102170042377,,024170134771,00000000000917991758,0503448266,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:43,Assigned,102170042377,,024170134786,00000000000917992193,0503448099,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:43,Assigned,102170042377,,024170134786,00000000000917992193,0503448103,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:43,Assigned,102170042377,,024170134786,00000000000917992193,0503448109,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:43,Assigned,102170042377,,024170134786,00000000000917992193,0503448111,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:43,Assigned,102170042377,,024170134786,00000000000917992193,0503448236,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:43,Assigned,102170042377,,024170134786,00000000000917992193,0503448253,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:43,Assigned,102170042377,,024170134786,00000000000917992193,0503448275,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:43,Assigned,102170042377,,024170134786,00000000000917992193,0503448277,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:59,Assigned,102170042377,,024170134818,00000000000917992964,0503448102,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:59,Assigned,102170042377,,024170134818,00000000000917992964,0503448104,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:59,Assigned,102170042377,,024170134818,00000000000917992964,0503448117,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:59,Assigned,102170042377,,024170134818,00000000000917992964,0503448127,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:59,Assigned,102170042377,,024170134818,00000000000917992964,0503448129,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:59,Assigned,102170042377,,024170134818,00000000000917992964,0503448542,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:59,Assigned,102170042377,,024170134818,00000000000917992964,0503448552,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:30:59,Assigned,102170042377,,024170134818,00000000000917992964,0503448559,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:17,Assigned,102170042377,,024170134840,00000000000917993143,0503448358,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:17,Assigned,102170042377,,024170134840,00000000000917993143,0503448518,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:17,Assigned,102170042377,,024170134840,00000000000917993143,0503448544,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:17,Assigned,102170042377,,024170134840,00000000000917993143,0503448549,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:17,Assigned,102170042377,,024170134840,00000000000917993143,0503448600,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:17,Assigned,102170042377,,024170134840,00000000000917993143,0503448607,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:17,Assigned,102170042377,,024170134840,00000000000917993143,0503448676,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:17,Assigned,102170042377,,024170134840,00000000000917993143,0503448681,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:26,Assigned,102170042377,,024170134699,00000000000917990544,0503448151,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:26,Assigned,102170042377,,024170134699,00000000000917990544,0503448338,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:26,Assigned,102170042377,,024170134699,00000000000917990544,0503448342,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:26,Assigned,102170042377,,024170134699,00000000000917990544,0503448353,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:26,Assigned,102170042377,,024170134699,00000000000917990544,0503448357,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:26,Assigned,102170042377,,024170134699,00000000000917990544,0503448364,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:26,Assigned,102170042377,,024170134699,00000000000917990544,0602548661,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:26,Assigned,102170042377,,024170134699,00000000000917990544,0602548723,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:33,Assigned,102170042377,,024170134770,00000000000917991697,0503433589,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:33,Assigned,102170042377,,024170134770,00000000000917991697,0503433785,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:33,Assigned,102170042377,,024170134770,00000000000917991697,0503448190,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:33,Assigned,102170042377,,024170134770,00000000000917991697,0503448245,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:33,Assigned,102170042377,,024170134770,00000000000917991697,0503448247,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:33,Assigned,102170042377,,024170134770,00000000000917991697,0503448276,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:33,Assigned,102170042377,,024170134770,00000000000917991697,0503448278,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:33,Assigned,102170042377,,024170134770,00000000000917991697,0503448334,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:40,Assigned,102170042377,,024170134784,00000000000917992185,0503413156,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:40,Assigned,102170042377,,024170134784,00000000000917992185,0503433808,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:40,Assigned,102170042377,,024170134784,00000000000917992185,0503448094,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:40,Assigned,102170042377,,024170134784,00000000000917992185,0503448105,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:40,Assigned,102170042377,,024170134784,00000000000917992185,0503448108,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:40,Assigned,102170042377,,024170134784,00000000000917992185,0503448142,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:40,Assigned,102170042377,,024170134784,00000000000917992185,0503448329,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:40,Assigned,102170042377,,024170134784,00000000000917992185,0503448568,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:47,Assigned,102170042377,,024170134821,00000000000917992968,0503448110,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:47,Assigned,102170042377,,024170134821,00000000000917992968,0503448237,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:47,Assigned,102170042377,,024170134821,00000000000917992968,0503448538,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:47,Assigned,102170042377,,024170134821,00000000000917992968,0503448540,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:47,Assigned,102170042377,,024170134821,00000000000917992968,0503448541,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:47,Assigned,102170042377,,024170134821,00000000000917992968,0503448543,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:47,Assigned,102170042377,,024170134821,00000000000917992968,0503448553,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:31:47,Assigned,102170042377,,024170134821,00000000000917992968,0503448554,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:32:04,Assigned,102170042377,,024170134836,00000000000917993141,0503448528,0261S19174,0000,570,Currently boxed,Valid
04/11/2017 02:32:04,Assigned,102170042377,,024170134836,00000000000917993141,0503448586,0261S19174,0000,570,Currently boxed,Valid
