Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Packaging Date
102170037024,,012170116770,,0602458197,0261S19333,0001,570,26/09/2017 17:15:30
102170037024,,012170116770,,0602462616,0261S19333,0001,570,26/09/2017 17:15:30
102170037024,,012170116770,,0602462626,0261S19333,0001,570,26/09/2017 17:15:30
102170037024,,012170116770,,0602462628,0261S19333,0001,570,26/09/2017 17:15:30
102170037024,,012170116770,,0602463073,0261S19333,0001,570,26/09/2017 17:15:30
102170037024,,012170116770,,0602463079,0261S19333,0001,570,26/09/2017 17:15:30
102170037024,,012170116770,,0602463081,0261S19333,0001,570,26/09/2017 17:15:30
102170037024,,012170116770,,0602463089,0261S19333,0001,570,26/09/2017 17:15:30
102170037024,,012170116771,,0602458193,0261S19333,0001,570,26/09/2017 17:14:32
102170037024,,012170116771,,0602458195,0261S19333,0001,570,26/09/2017 17:14:32
102170037024,,012170116771,,0602458196,0261S19333,0001,570,26/09/2017 17:14:32
102170037024,,012170116771,,0602462619,0261S19333,0001,570,26/09/2017 17:14:32
102170037024,,012170116771,,0602462620,0261S19333,0001,570,26/09/2017 17:14:32
102170037024,,012170116771,,0602463080,0261S19333,0001,570,26/09/2017 17:14:32
102170037024,,012170116771,,0602463082,0261S19333,0001,570,26/09/2017 17:14:32
102170037024,,012170116771,,0602481551,0261S19333,0001,570,26/09/2017 17:14:32
102170037024,,012170117767,00000000000917717868,0602490338,0261S19333,0001,570,26/09/2017 17:14:54
102170037024,,012170117767,00000000000917717868,0602490358,0261S19333,0001,570,26/09/2017 17:14:54
102170037024,,012170117767,00000000000917717868,0602490375,0261S19333,0001,570,26/09/2017 17:14:54
102170037024,,012170117767,00000000000917717868,0602490383,0261S19333,0001,570,26/09/2017 17:14:54
102170037024,,012170117767,00000000000917717868,0602490386,0261S19333,0001,570,26/09/2017 17:14:54
102170037024,,012170117767,00000000000917717868,0602490387,0261S19333,0001,570,26/09/2017 17:14:54
102170037024,,012170117767,00000000000917717868,0602490392,0261S19333,0001,570,26/09/2017 17:14:54
102170037024,,012170117767,00000000000917717868,0602490449,0261S19333,0001,570,26/09/2017 17:14:54
102170037024,,012170117769,00000000000917717870,0602487165,0261S19333,0001,570,26/09/2017 17:17:18
102170037024,,012170117769,00000000000917717870,0602490326,0261S19333,0001,570,26/09/2017 17:17:18
102170037024,,012170117769,00000000000917717870,0602490330,0261S19333,0001,570,26/09/2017 17:17:18
102170037024,,012170117769,00000000000917717870,0602490339,0261S19333,0001,570,26/09/2017 17:17:18
