Date,State,Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Part still boxed ?,Invalid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730753,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730754,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730755,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730756,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730757,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730758,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730759,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730760,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730761,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730762,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730763,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730764,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730765,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730766,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730767,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730768,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730769,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730770,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730771,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730772,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730773,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730774,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730775,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730776,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730777,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730778,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730779,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730780,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730781,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730782,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730783,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730784,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730785,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730786,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730787,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730788,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730789,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730790,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730791,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730792,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730793,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730794,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730795,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730796,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730797,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730798,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730799,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730800,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730801,0261S19174,0,570,Currently boxed,Valid
26/09/2017 11:54:24,Assigned,,,121700930281,,502730802,0261S19174,0,570,Currently boxed,Valid
