Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Packaging Date
102170037213,,024170118680,00000000000917734194,0602474920,0261S19174,0000,570,28/09/2017 01:31:27
102170037213,,024170118680,00000000000917734194,0602474921,0261S19174,0000,570,28/09/2017 01:31:27
102170037213,,024170118680,00000000000917734194,0602491562,0261S19174,0000,570,28/09/2017 01:31:27
102170037213,,024170118680,00000000000917734194,0602491588,0261S19174,0000,570,28/09/2017 01:31:27
102170037213,,024170118680,00000000000917734194,0602493989,0261S19174,0000,570,28/09/2017 01:31:27
102170037213,,024170118680,00000000000917734194,0602494000,0261S19174,0000,570,28/09/2017 01:31:27
102170037213,,024170118680,00000000000917734194,0602494019,0261S19174,0000,570,28/09/2017 01:31:27
102170037213,,024170118680,00000000000917734194,0602494021,0261S19174,0000,570,28/09/2017 01:31:27
102170037213,,024170118681,00000000000917734284,0602474767,0261S19174,0000,570,28/09/2017 01:32:39
102170037213,,024170118681,00000000000917734284,0602474915,0261S19174,0000,570,28/09/2017 01:32:39
102170037213,,024170118681,00000000000917734284,0602474919,0261S19174,0000,570,28/09/2017 01:32:39
102170037213,,024170118681,00000000000917734284,0602474933,0261S19174,0000,570,28/09/2017 01:32:39
102170037213,,024170118681,00000000000917734284,0602474969,0261S19174,0000,570,28/09/2017 01:32:39
102170037213,,024170118681,00000000000917734284,0602474976,0261S19174,0000,570,28/09/2017 01:32:39
102170037213,,024170118681,00000000000917734284,0602475005,0261S19174,0000,570,28/09/2017 01:32:39
102170037213,,024170118681,00000000000917734284,0602475006,0261S19174,0000,570,28/09/2017 01:32:39
102170037213,,024170118684,00000000000917734287,0602474757,0261S19174,0000,570,28/09/2017 01:33:22
102170037213,,024170118684,00000000000917734287,0602474773,0261S19174,0000,570,28/09/2017 01:33:22
102170037213,,024170118684,00000000000917734287,0602474897,0261S19174,0000,570,28/09/2017 01:33:22
102170037213,,024170118684,00000000000917734287,0602474962,0261S19174,0000,570,28/09/2017 01:33:22
102170037213,,024170118684,00000000000917734287,0602474968,0261S19174,0000,570,28/09/2017 01:33:22
102170037213,,024170118684,00000000000917734287,0602474971,0261S19174,0000,570,28/09/2017 01:33:22
102170037213,,024170118684,00000000000917734287,0602474972,0261S19174,0000,570,28/09/2017 01:33:22
102170037213,,024170118684,00000000000917734287,0602474983,0261S19174,0000,570,28/09/2017 01:33:22
102170037213,,024170118686,00000000000917734352,0602474758,0261S19174,0000,570,28/09/2017 01:30:43
102170037213,,024170118686,00000000000917734352,0602474763,0261S19174,0000,570,28/09/2017 01:30:43
102170037213,,024170118686,00000000000917734352,0602474774,0261S19174,0000,570,28/09/2017 01:30:43
102170037213,,024170118686,00000000000917734352,0602474961,0261S19174,0000,570,28/09/2017 01:30:43
102170037213,,024170118686,00000000000917734352,0602474964,0261S19174,0000,570,28/09/2017 01:30:43
102170037213,,024170118686,00000000000917734352,0602474967,0261S19174,0000,570,28/09/2017 01:30:43
102170037213,,024170118686,00000000000917734352,0602474970,0261S19174,0000,570,28/09/2017 01:30:43
102170037213,,024170118686,00000000000917734352,0602485302,0261S19174,0000,570,28/09/2017 01:30:43
102170037213,,024170118687,00000000000917734428,0602474487,0261S19174,0000,570,28/09/2017 01:31:34
102170037213,,024170118687,00000000000917734428,0602474537,0261S19174,0000,570,28/09/2017 01:31:34
102170037213,,024170118687,00000000000917734428,0602474963,0261S19174,0000,570,28/09/2017 01:31:34
102170037213,,024170118687,00000000000917734428,0602474965,0261S19174,0000,570,28/09/2017 01:31:34
