Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Packaging Date
102170036971,,012170116772,,0602462614,0261S19333,0001,570,26/09/2017 05:04:53
102170036971,,012170116772,,0602462618,0261S19333,0001,570,26/09/2017 05:04:53
102170036971,,012170116772,,0602462621,0261S19333,0001,570,26/09/2017 05:04:53
102170036971,,012170116772,,0602462623,0261S19333,0001,570,26/09/2017 05:04:53
102170036971,,012170116772,,0602462625,0261S19333,0001,570,26/09/2017 05:04:53
102170036971,,012170116772,,0602462631,0261S19333,0001,570,26/09/2017 05:04:53
102170036971,,012170116772,,0602462632,0261S19333,0001,570,26/09/2017 05:04:53
102170036971,,012170116772,,0602479880,0261S19333,0001,570,26/09/2017 05:04:53
102170036971,,012170116909,00000000000917698895,0602487317,0261S19333,0001,570,26/09/2017 05:05:58
102170036971,,012170116909,00000000000917698895,0602487331,0261S19333,0001,570,26/09/2017 05:05:58
102170036971,,012170116909,00000000000917698895,0602487346,0261S19333,0001,570,26/09/2017 05:05:58
102170036971,,012170116909,00000000000917698895,0602487352,0261S19333,0001,570,26/09/2017 05:05:58
102170036971,,012170116909,00000000000917698895,0602487353,0261S19333,0001,570,26/09/2017 05:05:58
102170036971,,012170116909,00000000000917698895,0602487355,0261S19333,0001,570,26/09/2017 05:05:58
102170036971,,012170116909,00000000000917698895,0602487358,0261S19333,0001,570,26/09/2017 05:05:58
102170036971,,012170116909,00000000000917698895,0602487359,0261S19333,0001,570,26/09/2017 05:05:58
102170036971,,012170116911,00000000000917698898,0602479883,0261S19333,0001,570,26/09/2017 05:04:42
102170036971,,012170116911,00000000000917698898,0602479898,0261S19333,0001,570,26/09/2017 05:04:42
102170036971,,012170116911,00000000000917698898,0602487061,0261S19333,0001,570,26/09/2017 05:04:42
102170036971,,012170116911,00000000000917698898,0602487063,0261S19333,0001,570,26/09/2017 05:04:42
102170036971,,012170116911,00000000000917698898,0602487071,0261S19333,0001,570,26/09/2017 05:04:42
102170036971,,012170116911,00000000000917698898,0602487120,0261S19333,0001,570,26/09/2017 05:04:42
102170036971,,012170116911,00000000000917698898,0602487121,0261S19333,0001,570,26/09/2017 05:04:42
102170036971,,012170116911,00000000000917698898,0602487131,0261S19333,0001,570,26/09/2017 05:04:42
102170036971,,012170116913,00000000000917698901,0602486871,0261S19333,0001,570,26/09/2017 05:01:20
102170036971,,012170116913,00000000000917698901,0602487067,0261S19333,0001,570,26/09/2017 05:01:20
102170036971,,012170116913,00000000000917698901,0602487068,0261S19333,0001,570,26/09/2017 05:01:20
