Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Packaging Date
102170037227,,024170118655,00000000000917733288,0602485217,0261S19174,0000,570,28/09/2017 02:55:48
102170037227,,024170118655,00000000000917733288,0602485315,0261S19174,0000,570,28/09/2017 02:55:48
102170037227,,024170118655,00000000000917733288,0602485331,0261S19174,0000,570,28/09/2017 02:55:48
102170037227,,024170118655,00000000000917733288,0602485339,0261S19174,0000,570,28/09/2017 02:55:48
102170037227,,024170118655,00000000000917733288,0602485603,0261S19174,0000,570,28/09/2017 02:55:48
102170037227,,024170118655,00000000000917733288,0602485612,0261S19174,0000,570,28/09/2017 02:55:48
102170037227,,024170118655,00000000000917733288,0602485615,0261S19174,0000,570,28/09/2017 02:55:48
102170037227,,024170118655,00000000000917733288,0602485670,0261S19174,0000,570,28/09/2017 02:55:48
102170037227,,024170118666,00000000000917733843,0602493922,0261S19174,0000,570,28/09/2017 02:57:28
102170037227,,024170118666,00000000000917733843,0602493926,0261S19174,0000,570,28/09/2017 02:57:28
102170037227,,024170118666,00000000000917733843,0602493931,0261S19174,0000,570,28/09/2017 02:57:28
102170037227,,024170118666,00000000000917733843,0602493934,0261S19174,0000,570,28/09/2017 02:57:28
102170037227,,024170118666,00000000000917733843,0602494421,0261S19174,0000,570,28/09/2017 02:57:28
102170037227,,024170118666,00000000000917733843,0602494435,0261S19174,0000,570,28/09/2017 02:57:28
102170037227,,024170118666,00000000000917733843,0602494444,0261S19174,0000,570,28/09/2017 02:57:28
102170037227,,024170118666,00000000000917733843,0602494454,0261S19174,0000,570,28/09/2017 02:57:28
102170037227,,024170118667,00000000000917733845,0602493924,0261S19174,0000,570,28/09/2017 03:00:22
102170037227,,024170118667,00000000000917733845,0602493925,0261S19174,0000,570,28/09/2017 03:00:22
102170037227,,024170118667,00000000000917733845,0602493928,0261S19174,0000,570,28/09/2017 03:00:22
102170037227,,024170118667,00000000000917733845,0602493929,0261S19174,0000,570,28/09/2017 03:00:22
102170037227,,024170118667,00000000000917733845,0602493930,0261S19174,0000,570,28/09/2017 03:00:22
102170037227,,024170118667,00000000000917733845,0602493932,0261S19174,0000,570,28/09/2017 03:00:22
102170037227,,024170118667,00000000000917733845,0602493933,0261S19174,0000,570,28/09/2017 03:00:22
102170037227,,024170118667,00000000000917733845,0602493939,0261S19174,0000,570,28/09/2017 03:00:22
102170037227,,024170118668,00000000000917733846,0602493947,0261S19174,0000,570,28/09/2017 02:58:38
102170037227,,024170118668,00000000000917733846,0602494420,0261S19174,0000,570,28/09/2017 02:58:38
102170037227,,024170118668,00000000000917733846,0602494422,0261S19174,0000,570,28/09/2017 02:58:38
102170037227,,024170118668,00000000000917733846,0602494431,0261S19174,0000,570,28/09/2017 02:58:38
102170037227,,024170118668,00000000000917733846,0602494432,0261S19174,0000,570,28/09/2017 02:58:38
102170037227,,024170118668,00000000000917733846,0602494433,0261S19174,0000,570,28/09/2017 02:58:38
102170037227,,024170118668,00000000000917733846,0602494445,0261S19174,0000,570,28/09/2017 02:58:38
102170037227,,024170118668,00000000000917733846,0602494460,0261S19174,0000,570,28/09/2017 02:58:38
102170037227,,024170118670,00000000000917733904,0602474489,0261S19174,0000,570,28/09/2017 02:55:55
102170037227,,024170118670,00000000000917733904,0602474535,0261S19174,0000,570,28/09/2017 02:55:55
102170037227,,024170118670,00000000000917733904,0602474538,0261S19174,0000,570,28/09/2017 02:55:55
102170037227,,024170118670,00000000000917733904,0602474539,0261S19174,0000,570,28/09/2017 02:55:55
102170037227,,024170118670,00000000000917733904,0602474907,0261S19174,0000,570,28/09/2017 02:55:55
102170037227,,024170118670,00000000000917733904,0602474908,0261S19174,0000,570,28/09/2017 02:55:55
102170037227,,024170118670,00000000000917733904,0602474909,0261S19174,0000,570,28/09/2017 02:55:55
102170037227,,024170118670,00000000000917733904,0602474912,0261S19174,0000,570,28/09/2017 02:55:55
102170037227,,024170118671,00000000000917733927,0602474536,0261S19174,0000,570,28/09/2017 02:58:46
102170037227,,024170118671,00000000000917733927,0602474786,0261S19174,0000,570,28/09/2017 02:58:46
102170037227,,024170118671,00000000000917733927,0602474851,0261S19174,0000,570,28/09/2017 02:58:46
102170037227,,024170118671,00000000000917733927,0602474902,0261S19174,0000,570,28/09/2017 02:58:46
102170037227,,024170118671,00000000000917733927,0602474910,0261S19174,0000,570,28/09/2017 02:58:46
102170037227,,024170118671,00000000000917733927,0602493938,0261S19174,0000,570,28/09/2017 02:58:46
102170037227,,024170118671,00000000000917733927,0602493982,0261S19174,0000,570,28/09/2017 02:58:46
102170037227,,024170118671,00000000000917733927,0602493997,0261S19174,0000,570,28/09/2017 02:58:46
102170037227,,024170118672,00000000000917734012,0602474490,0261S19174,0000,570,28/09/2017 02:57:52
102170037227,,024170118672,00000000000917734012,0602474697,0261S19174,0000,570,28/09/2017 02:57:52
102170037227,,024170118672,00000000000917734012,0602474841,0261S19174,0000,570,28/09/2017 02:57:52
102170037227,,024170118672,00000000000917734012,0602474844,0261S19174,0000,570,28/09/2017 02:57:52
102170037227,,024170118672,00000000000917734012,0602474895,0261S19174,0000,570,28/09/2017 02:57:52
102170037227,,024170118672,00000000000917734012,0602474901,0261S19174,0000,570,28/09/2017 02:57:52
102170037227,,024170118672,00000000000917734012,0602474911,0261S19174,0000,570,28/09/2017 02:57:52
102170037227,,024170118672,00000000000917734012,0602474918,0261S19174,0000,570,28/09/2017 02:57:52
102170037227,,024170118673,00000000000917734041,0602493923,0261S19174,0000,570,28/09/2017 03:00:37
102170037227,,024170118673,00000000000917734041,0602493927,0261S19174,0000,570,28/09/2017 03:00:37
102170037227,,024170118673,00000000000917734041,0602494461,0261S19174,0000,570,28/09/2017 03:00:37
102170037227,,024170118673,00000000000917734041,0602494463,0261S19174,0000,570,28/09/2017 03:00:37
102170037227,,024170118673,00000000000917734041,0602494466,0261S19174,0000,570,28/09/2017 03:00:37
102170037227,,024170118673,00000000000917734041,0602494467,0261S19174,0000,570,28/09/2017 03:00:37
102170037227,,024170118673,00000000000917734041,0602494469,0261S19174,0000,570,28/09/2017 03:00:37
102170037227,,024170118673,00000000000917734041,0602494473,0261S19174,0000,570,28/09/2017 03:00:37
102170037227,,024170118674,00000000000917734082,0602494015,0261S19174,0000,570,28/09/2017 02:56:06
102170037227,,024170118674,00000000000917734082,0602494436,0261S19174,0000,570,28/09/2017 02:56:06
102170037227,,024170118674,00000000000917734082,0602494443,0261S19174,0000,570,28/09/2017 02:56:06
102170037227,,024170118674,00000000000917734082,0602494464,0261S19174,0000,570,28/09/2017 02:56:06
102170037227,,024170118674,00000000000917734082,0602494472,0261S19174,0000,570,28/09/2017 02:56:06
102170037227,,024170118674,00000000000917734082,0602494476,0261S19174,0000,570,28/09/2017 02:56:06
102170037227,,024170118674,00000000000917734082,0602494477,0261S19174,0000,570,28/09/2017 02:56:06
102170037227,,024170118674,00000000000917734082,0602494479,0261S19174,0000,570,28/09/2017 02:56:06
102170037227,,024170118675,00000000000917734127,0602494446,0261S19174,0000,570,28/09/2017 02:59:33
102170037227,,024170118675,00000000000917734127,0602494447,0261S19174,0000,570,28/09/2017 02:59:33
102170037227,,024170118675,00000000000917734127,0602494448,0261S19174,0000,570,28/09/2017 02:59:33
102170037227,,024170118675,00000000000917734127,0602494452,0261S19174,0000,570,28/09/2017 02:59:33
102170037227,,024170118675,00000000000917734127,0602494453,0261S19174,0000,570,28/09/2017 02:59:33
102170037227,,024170118675,00000000000917734127,0602494455,0261S19174,0000,570,28/09/2017 02:59:33
102170037227,,024170118675,00000000000917734127,0602494456,0261S19174,0000,570,28/09/2017 02:59:33
102170037227,,024170118675,00000000000917734127,0602494459,0261S19174,0000,570,28/09/2017 02:59:33
102170037227,,024170118678,00000000000917734177,0602474914,0261S19174,0000,570,28/09/2017 03:00:47
102170037227,,024170118678,00000000000917734177,0602474924,0261S19174,0000,570,28/09/2017 03:00:47
102170037227,,024170118678,00000000000917734177,0602474977,0261S19174,0000,570,28/09/2017 03:00:47
102170037227,,024170118678,00000000000917734177,0602491452,0261S19174,0000,570,28/09/2017 03:00:47
102170037227,,024170118678,00000000000917734177,0602492124,0261S19174,0000,570,28/09/2017 03:00:47
102170037227,,024170118678,00000000000917734177,0602493998,0261S19174,0000,570,28/09/2017 03:00:47
102170037227,,024170118678,00000000000917734177,0602494471,0261S19174,0000,570,28/09/2017 03:00:47
102170037227,,024170118678,00000000000917734177,0602494478,0261S19174,0000,570,28/09/2017 03:00:47
102170037227,,024170118691,00000000000917734616,0503320669,0261S19174,0000,570,28/09/2017 02:56:23
102170037227,,024170118691,00000000000917734616,0602474540,0261S19174,0000,570,28/09/2017 02:56:23
102170037227,,024170118691,00000000000917734616,0602474784,0261S19174,0000,570,28/09/2017 02:56:23
102170037227,,024170118691,00000000000917734616,0602474917,0261S19174,0000,570,28/09/2017 02:56:23
102170037227,,024170118691,00000000000917734616,0602474936,0261S19174,0000,570,28/09/2017 02:56:23
102170037227,,024170118691,00000000000917734616,0602491345,0261S19174,0000,570,28/09/2017 02:56:23
102170037227,,024170118691,00000000000917734616,0602491901,0261S19174,0000,570,28/09/2017 02:56:23
102170037227,,024170118691,00000000000917734616,0602494437,0261S19174,0000,570,28/09/2017 02:56:23
102170037227,,024170118692,00000000000917734617,0602474913,0261S19174,0000,570,28/09/2017 02:54:51
102170037227,,024170118692,00000000000917734617,0602491463,0261S19174,0000,570,28/09/2017 02:54:51
102170037227,,024170118692,00000000000917734617,0602491729,0261S19174,0000,570,28/09/2017 02:54:51
102170037227,,024170118692,00000000000917734617,0602491730,0261S19174,0000,570,28/09/2017 02:54:51
102170037227,,024170118692,00000000000917734617,0602491732,0261S19174,0000,570,28/09/2017 02:54:51
102170037227,,024170118692,00000000000917734617,0602491733,0261S19174,0000,570,28/09/2017 02:54:51
102170037227,,024170118692,00000000000917734617,0602491899,0261S19174,0000,570,28/09/2017 02:54:51
102170037227,,024170118692,00000000000917734617,0602494434,0261S19174,0000,570,28/09/2017 02:54:51
102170037227,,024170118693,00000000000917734755,0602491393,0261S19174,0000,570,28/09/2017 02:58:25
102170037227,,024170118693,00000000000917734755,0602491644,0261S19174,0000,570,28/09/2017 02:58:25
102170037227,,024170118693,00000000000917734755,0602491676,0261S19174,0000,570,28/09/2017 02:58:25
102170037227,,024170118693,00000000000917734755,0602491677,0261S19174,0000,570,28/09/2017 02:58:25
102170037227,,024170118693,00000000000917734755,0602491678,0261S19174,0000,570,28/09/2017 02:58:25
102170037227,,024170118693,00000000000917734755,0602491679,0261S19174,0000,570,28/09/2017 02:58:25
102170037227,,024170118693,00000000000917734755,0602491807,0261S19174,0000,570,28/09/2017 02:58:25
102170037227,,024170118693,00000000000917734755,0602491809,0261S19174,0000,570,28/09/2017 02:58:25
102170037227,,024170118695,00000000000917734757,0602491278,0261S19174,0000,570,28/09/2017 02:59:59
102170037227,,024170118695,00000000000917734757,0602491282,0261S19174,0000,570,28/09/2017 02:59:59
102170037227,,024170118695,00000000000917734757,0602491284,0261S19174,0000,570,28/09/2017 02:59:59
