SCHED_DT,SCHED_HR,CUST_PART_NO,WIP_QTY,QTY
26-Sep-2017,8,39101-03201,24,3
26-Sep-2017,8,39102-04457,0,0
26-Sep-2017,8,39102-04462,0,0
26-Sep-2017,8,39102-04466,0,0
26-Sep-2017,8,39102-04536,0,0
26-Sep-2017,8,39103-03201,53,507
26-Sep-2017,8,39103-03203,0,3
26-Sep-2017,8,39103-03205,5,0
26-Sep-2017,8,39103-03207,16,25
26-Sep-2017,8,39103-03208,0,0
26-Sep-2017,8,39103-03210,0,0
26-Sep-2017,8,39103-03211,1,0
26-Sep-2017,8,39103-03212,0,0
26-Sep-2017,8,39103-03214,0,0
26-Sep-2017,8,39103-03215,10,0
26-Sep-2017,8,39103-03216,0,0
26-Sep-2017,8,39103-03237,41,75
26-Sep-2017,8,39103-03243,2,53
26-Sep-2017,8,39103-03244,0,0
26-Sep-2017,8,39103-03247,4,0
26-Sep-2017,8,39103-03248,0,0
26-Sep-2017,8,39103-03250,1,0
26-Sep-2017,8,39103-03251,0,0
26-Sep-2017,8,39103-03252,2,0
26-Sep-2017,8,39103-03274,0,0
27-Sep-2017,8,39101-03201,24,0
27-Sep-2017,8,39102-04457,0,0
27-Sep-2017,8,39102-04462,0,0
27-Sep-2017,8,39102-04466,0,6
27-Sep-2017,8,39102-04536,0,0
27-Sep-2017,8,39103-03201,53,435
27-Sep-2017,8,39103-03203,0,3
27-Sep-2017,8,39103-03205,5,0
27-Sep-2017,8,39103-03207,16,65
27-Sep-2017,8,39103-03208,0,0
27-Sep-2017,8,39103-03210,0,0
27-Sep-2017,8,39103-03211,1,0
27-Sep-2017,8,39103-03212,0,0
27-Sep-2017,8,39103-03214,0,0
27-Sep-2017,8,39103-03215,10,0
27-Sep-2017,8,39103-03216,0,0
27-Sep-2017,8,39103-03237,41,99
27-Sep-2017,8,39103-03243,2,107
27-Sep-2017,8,39103-03244,0,0
27-Sep-2017,8,39103-03247,4,0
27-Sep-2017,8,39103-03248,0,0
27-Sep-2017,8,39103-03250,1,0
27-Sep-2017,8,39103-03251,0,0
27-Sep-2017,8,39103-03252,2,0
27-Sep-2017,8,39103-03274,0,0
28-Sep-2017,8,39101-03201,24,0
28-Sep-2017,8,39102-04457,0,0
28-Sep-2017,8,39102-04462,0,0
28-Sep-2017,8,39102-04466,0,0
28-Sep-2017,8,39102-04536,0,0
28-Sep-2017,8,39103-03201,53,421
28-Sep-2017,8,39103-03203,0,3
28-Sep-2017,8,39103-03205,5,0
28-Sep-2017,8,39103-03207,16,86
28-Sep-2017,8,39103-03208,0,0
28-Sep-2017,8,39103-03210,0,0
28-Sep-2017,8,39103-03211,1,0
28-Sep-2017,8,39103-03212,0,0
28-Sep-2017,8,39103-03214,0,0
28-Sep-2017,8,39103-03215,10,0
28-Sep-2017,8,39103-03216,0,0
28-Sep-2017,8,39103-03237,41,62
28-Sep-2017,8,39103-03243,2,155
28-Sep-2017,8,39103-03244,0,0
28-Sep-2017,8,39103-03247,4,0
28-Sep-2017,8,39103-03248,0,0
28-Sep-2017,8,39103-03250,1,0
28-Sep-2017,8,39103-03251,0,0
28-Sep-2017,8,39103-03252,2,0
28-Sep-2017,8,39103-03274,0,0
