SCHED_DT,SCHED_HR,CUST_PART_NO,PART_NO,WIP_QTY,QTY
25-Sep-17,6,39103-03211,0261.S19.196-570,10,60
25-Sep-17,8,39103-03212,0261.S19.196-570,10,30
