SCHED_DT,SCHED_HR,CUST_PART_NO,CLOSE_STK,WIP_QTY,QTY
18-Jan-2018,00,39101-03201,59,23,1
18-Jan-2018,20,39101-03201,0,0,8
19-Jan-2018,0,39101-03201,0,0,22
19-Jan-2018,18,39101-03201,0,0,5
19-Jan-2018,20,39101-03201,0,0,11
20-Jan-2018,0,39101-03201,0,0,14
20-Jan-2018,14,39101-03201,0,0,30
18-Jan-2018,00,39102-04466,2,1,0
19-Jan-2018,8,39102-04466,0,0,1
22-Jan-2018,10,39102-04466,0,0,15
18-Jan-2018,00,39102-04505,1,0,0
19-Jan-2018,12,39102-04505,0,0,1
18-Jan-2018,00,39102-04510,2,0,1
22-Jan-2018,10,39102-04510,0,0,15
20-Jan-2018,8,39102-04512,0,0,10
20-Jan-2018,10,39102-04512,0,0,10
18-Jan-2018,00,39102-04536,6,3,2
18-Jan-2018,00,39103-03201,625,44,26
18-Jan-2018,6,39103-03201,0,0,27
18-Jan-2018,8,39103-03201,0,0,6
18-Jan-2018,10,39103-03201,0,0,34
18-Jan-2018,12,39103-03201,0,0,36
18-Jan-2018,14,39103-03201,0,0,46
18-Jan-2018,16,39103-03201,0,0,23
18-Jan-2018,18,39103-03201,0,0,41
18-Jan-2018,20,39103-03201,0,0,23
19-Jan-2018,0,39103-03201,0,0,30
19-Jan-2018,2,39103-03201,0,0,17
19-Jan-2018,4,39103-03201,0,0,12
19-Jan-2018,6,39103-03201,0,0,8
19-Jan-2018,8,39103-03201,0,0,9
19-Jan-2018,10,39103-03201,0,0,15
19-Jan-2018,12,39103-03201,0,0,28
19-Jan-2018,14,39103-03201,0,0,45
19-Jan-2018,16,39103-03201,0,0,22
19-Jan-2018,18,39103-03201,0,0,33
19-Jan-2018,20,39103-03201,0,0,20
20-Jan-2018,0,39103-03201,0,0,24
20-Jan-2018,2,39103-03201,0,0,27
20-Jan-2018,4,39103-03201,0,0,35
20-Jan-2018,6,39103-03201,0,0,27
20-Jan-2018,8,39103-03201,0,0,25
20-Jan-2018,10,39103-03201,0,0,36
20-Jan-2018,12,39103-03201,0,0,42
