INV_ID,INV_DT,FROM_LOC,TO_LOC,LINE,PART_NO,QTY
171244527,7-Dec-17,1760,W720,1,0261S19194570,16
171244528,7-Dec-17,1760,W720,1,0261S19200570,8
171244529,7-Dec-17,1760,W720,1,0261S19174570,24
