PART_GRP,PART_NO,CUST_PART_NO,VARIANT,PARTS_TYPE
HMIL,0261.S19.174-570,39103-03201,1.2D 5MT,BA PE
HMIL,0261.S19.174-571,39103-03202,1.2D 5MT,BA PE
HMIL,0261.S19.174-572,39103-03203,1.2D 5MT,BA PE
HMIL,0261.S19.174-573,39103-03204,1.2D 5MT,BA PE
